category1,category2,recommended
Arts_Crafts_and_Sewing,Automotive,Grocery_and_Gourmet_Food
Arts_Crafts_and_Sewing,CDs_and_Vinyl,Automotive
Arts_Crafts_and_Sewing,Cell_Phones_and_Accessories,Kindle_Store
Arts_Crafts_and_Sewing,Clothing_Shoes_and_Jewelry,Automotive
Arts_Crafts_and_Sewing,Electronics,Luxury_Beauty
Arts_Crafts_and_Sewing,Grocery_and_Gourmet_Food,Automotive
Arts_Crafts_and_Sewing,Home_and_Kitchen,Automotive
Arts_Crafts_and_Sewing,Industrial_and_Scientific,Luxury_Beauty
Arts_Crafts_and_Sewing,Kindle_Store,Automotive
Arts_Crafts_and_Sewing,Luxury_Beauty,Automotive
Arts_Crafts_and_Sewing,Movies_and_TV,Automotive
Arts_Crafts_and_Sewing,Musical_Instruments,Automotive
Arts_Crafts_and_Sewing,Patio_Lawn_and_Garden,Sports_and_Outdoors
Arts_Crafts_and_Sewing,Prime_Pantry,Automotive
Arts_Crafts_and_Sewing,Sports_and_Outdoors,Kindle_Store
Arts_Crafts_and_Sewing,Tools_and_Home_Improvement,Luxury_Beauty
Arts_Crafts_and_Sewing,Toys_and_Games,Automotive
Arts_Crafts_and_Sewing,Video_Games,Luxury_Beauty
Automotive,CDs_and_Vinyl,Grocery_and_Gourmet_Food
Automotive,Cell_Phones_and_Accessories,Grocery_and_Gourmet_Food
Automotive,Clothing_Shoes_and_Jewelry,Grocery_and_Gourmet_Food
Automotive,Electronics,Grocery_and_Gourmet_Food
Automotive,Grocery_and_Gourmet_Food,Toys_and_Games
Automotive,Home_and_Kitchen,Luxury_Beauty
Automotive,Industrial_and_Scientific,Grocery_and_Gourmet_Food
Automotive,Kindle_Store,Grocery_and_Gourmet_Food
Automotive,Luxury_Beauty,Grocery_and_Gourmet_Food
Automotive,Movies_and_TV,Grocery_and_Gourmet_Food
Automotive,Musical_Instruments,Grocery_and_Gourmet_Food
Automotive,Patio_Lawn_and_Garden,Toys_and_Games
Automotive,Prime_Pantry,Home_and_Kitchen
Automotive,Sports_and_Outdoors,Grocery_and_Gourmet_Food
Automotive,Tools_and_Home_Improvement,Grocery_and_Gourmet_Food
Automotive,Toys_and_Games,Grocery_and_Gourmet_Food
Automotive,Video_Games,Grocery_and_Gourmet_Food
CDs_and_Vinyl,Cell_Phones_and_Accessories,Grocery_and_Gourmet_Food
CDs_and_Vinyl,Clothing_Shoes_and_Jewelry,Tools_and_Home_Improvement
CDs_and_Vinyl,Electronics,Grocery_and_Gourmet_Food
CDs_and_Vinyl,Grocery_and_Gourmet_Food,Tools_and_Home_Improvement
CDs_and_Vinyl,Home_and_Kitchen,Automotive
CDs_and_Vinyl,Industrial_and_Scientific,Luxury_Beauty
CDs_and_Vinyl,Kindle_Store,Tools_and_Home_Improvement
CDs_and_Vinyl,Luxury_Beauty,Tools_and_Home_Improvement
CDs_and_Vinyl,Movies_and_TV,Tools_and_Home_Improvement
CDs_and_Vinyl,Musical_Instruments,Grocery_and_Gourmet_Food
CDs_and_Vinyl,Patio_Lawn_and_Garden,Sports_and_Outdoors
CDs_and_Vinyl,Prime_Pantry,Luxury_Beauty
CDs_and_Vinyl,Sports_and_Outdoors,Grocery_and_Gourmet_Food
CDs_and_Vinyl,Tools_and_Home_Improvement,Grocery_and_Gourmet_Food
CDs_and_Vinyl,Toys_and_Games,Tools_and_Home_Improvement
CDs_and_Vinyl,Video_Games,Kindle_Store
Cell_Phones_and_Accessories,Clothing_Shoes_and_Jewelry,Tools_and_Home_Improvement
Cell_Phones_and_Accessories,Electronics,Grocery_and_Gourmet_Food
Cell_Phones_and_Accessories,Grocery_and_Gourmet_Food,Tools_and_Home_Improvement
Cell_Phones_and_Accessories,Home_and_Kitchen,Automotive
Cell_Phones_and_Accessories,Industrial_and_Scientific,Luxury_Beauty
Cell_Phones_and_Accessories,Kindle_Store,Tools_and_Home_Improvement
Cell_Phones_and_Accessories,Luxury_Beauty,Patio_Lawn_and_Garden
Cell_Phones_and_Accessories,Movies_and_TV,Tools_and_Home_Improvement
